DimCardID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,AgeGroup
1,3561407960318444,dki,"Dr. Janet Nashiruddin, M.Ak",M,2010,Youth (<18)
2,347728053419394,emoney,Balamantri Rahayu,M,2002,Young Adult (18-35)
3,377105453850671,emoney,Dian Mustofa,F,1993,Young Adult (18-35)
4,4486493302356581,dki,"Cut Janet Suryatmi, M.Ak",M,1980,Middle Age (36-55)
5,30394281967910,bni,"Dasa Prakasa, S.I.Kom",F,1993,Young Adult (18-35)
6,4974829151599657,dki,Elvina Hasanah,M,1966,Senior (>55)
7,3532177104809428,dki,"Perkasa Prakasa, M.Pd",F,2011,Youth (<18)
8,3537522260639116,dki,Ayu Wahyudin,F,2009,Youth (<18)
9,4677151756111287186,brizzi,"H. Xanana Santoso, S.Farm",M,2010,Youth (<18)
10,4157142875245039894,brizzi,"R.A. Genta Hutagalung, S.E.",M,2007,Young Adult (18-35)
11,36856651026810,bni,"Intan Mardhiyah, S.Kom",F,1997,Young Adult (18-35)
12,213190608138709,emoney,"Ajeng Kurniawan, M.Ak",M,1983,Middle Age (36-55)
13,4035907877677945,dki,Kasiran Agustina,M,1968,Senior (>55)
14,587834635225,flazz,"Dt. Wisnu Maulana, S.Gz",M,1991,Young Adult (18-35)
15,345702735242070,emoney,Ilyas Winarno,F,1996,Young Adult (18-35)
16,4634372612327,online,"Rusman Rajasa, S.IP",F,2003,Young Adult (18-35)
17,4554991350792913578,brizzi,Sabri Megantara,F,1995,Young Adult (18-35)
18,4837645920340,online,dr. Citra Sitompul,F,1994,Young Adult (18-35)
19,4720228539006138,dki,Sabar Hidayanto,F,2005,Young Adult (18-35)
20,4804539913318709818,brizzi,Intan Tarihoran,F,2009,Youth (<18)
21,4034421709268866,dki,Zelaya Mayasari,M,1966,Senior (>55)
22,5545636121657375,dki,Karimah Nurdiyanti,M,1971,Middle Age (36-55)
23,3572281801825967,dki,Bajragin Uyainah,M,2001,Young Adult (18-35)
24,4473438517919,online,Cecep Prayoga,F,2012,Youth (<18)
25,676377986788,flazz,Gandi Prastuti,F,1995,Young Adult (18-35)
26,2237372105641371,dki,Puti Zamira Wasita,F,1985,Middle Age (36-55)
27,2243777654415468,dki,"Harsana Latupono, S.T.",F,1973,Middle Age (36-55)
28,349260084452028,emoney,Dr. Ikin Puspita,M,1988,Middle Age (36-55)
29,374188041506123,emoney,Wani Hakim,F,2012,Youth (<18)
30,4122275629939201,dki,Agus Prastuti,F,1994,Young Adult (18-35)
31,4831522730153681,dki,"Hani Halimah, M.Kom.",M,1995,Young Adult (18-35)
32,5451494457973343,dki,Dartono Suryatmi,M,1982,Middle Age (36-55)
33,180038391927813,emoney,Putri Tampubolon,M,1968,Senior (>55)
34,213174117397782,emoney,Bahuraksa Budiman,F,1995,Young Adult (18-35)
35,6011287607693584,dki,dr. Cinthia Hutasoit,M,2011,Youth (<18)
36,4517192322945399173,brizzi,Tari Hidayanto,M,1993,Young Adult (18-35)
37,4173945302987267,dki,Oni Hartati,F,2009,Youth (<18)
38,370134698047817,emoney,Ami Setiawan,F,1967,Senior (>55)
39,180057352741070,emoney,"Clara Prasetyo, S.T.",M,1981,Middle Age (36-55)
